PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2012;12;1;3;V;3;V;3;V;3;V;2;V;3;V;3;V;3;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V
28;102;1;6;28102001_6_48;2012;12;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2012;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2012;12;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V
28;102;1;10;28102001_10_49;2012;12;1;6;V;8;V;8;V;6;V;5;V;4;V;6;V;8;V;6;V;7;V;8;V;9;V;10;V;8;V;9;V;10;V;7;V;4;V;6;V;8;V;8;V;8;V;8;V;7;V
28;102;1;14;28102001_14_6;2012;12;1;61;V;61;V;60;V;61;V;60;V;59;V;60;V;59;V;58;V;59;V;62;V;65;V;72;V;76;V;78;V;78;V;75;V;67;V;66;V;62;V;63;V;62;V;63;V;62;V
28;123;2;7;28123002_7_8;2012;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;6;V;6;V;2;V;1;V;2;V;2;V;1;V;2;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;10;V
28;123;2;8;28123002_8_8;2012;12;1;6;V;7;V;8;V;6;V;6;V;7;V;9;V;15;V;14;V;7;V;6;V;5;V;6;V;5;V;5;V;5;V;6;V;6;V;7;V;10;V;14;V;12;V;15;V;25;V
28;123;2;10;28123002_10_49;2012;12;1;13;V;14;V;10;V;10;V;9;V;9;V;11;V;11;V;18;V;16;V;11;V;10;V;11;V;10;V;8;V;10;V;10;V;7;V;10;V;12;V;17;V;18;V;21;V;27;V
28;123;2;14;28123002_14_6;2012;12;1;39;V;29;V;27;V;40;V;37;V;22;V;19;V;5;V;13;V;33;V;39;V;44;V;47;V;55;V;61;V;60;V;50;V;49;V;43;V;33;V;22;V;16;V;14;V;2;V
28;13;2;7;28013002_7_8;2012;12;1;1;V;1;V;2;V;1;V;2;V;2;V;3;V;11;V;26;V;14;V;13;V;5;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;4;V;6;V;4;V;3;V;9;V
28;13;2;8;28013002_8_8;2012;12;1;7;V;6;V;5;V;9;V;13;V;17;V;32;V;44;V;42;V;28;V;24;V;11;V;10;V;10;V;11;V;11;V;15;V;21;V;21;V;27;V;43;V;31;V;42;V;45;V
28;13;2;10;28013002_10_49;2012;12;1;7;V;6;V;5;V;5;V;6;V;6;V;8;V;9;V;13;V;19;V;11;V;18;V;9;V;13;V;18;V;10;V;10;V;13;V;22;V;21;V;14;V;18;V;18;V;15;V
